uap_id,datetime,city,state_code,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude,rounded_dt,date_str,hour_str,weather_cloud,weather_temp_f,weather_condition,condition_groups
49468,2010-10-11 20:53:00,ramona,CA,ca,us,triangle,5.0,3-5 seconds,We believed this object to be an airplane on fire,11/21/2010,33.0416667,-116.8672222,2010-10-11 21:00:00,2010-10-11,21,0.0,64.4,Clear,Clear
49469,2010-10-11 21:35:00,union city,CA,ca,us,other,15.0,15 seconds,Opposing lights of amber that sliently crossed low in the sky.,11/21/2010,37.5958333,-122.0180556,2010-10-11 22:00:00,2010-10-11,22,0.0,64.3,Clear,Clear
,2010-10-11 23:20:00,clinton township,,mi,,fireball,15.0,15 seconds,Fireball lifted into the sky and dissipated into a cloud.,11/21/2010,42.586888,-82.919551,2010-10-11 23:00:00,2010-10-11,23,85.0,52.8,Patchy rain possible,Rain
53712,2011-10-11 03:15:00,omaha,IL,il,us,chevron,120.0,2 min,I noticed the craft as it had just passed over Rt 1. i brought my semi to a stop and shut down the engine. the craft was very large&#44as,10/19/2011,37.8902778,-88.3030556,2011-10-11 03:00:00,2011-10-11,3,10.0,57.4,Clear,Clear
53713,2011-10-11 08:40:00,henderson,NV,nv,us,other,180.0,3 minutes,UFO Report:  Date: October 11th&#44 2011 Location: Las Vegas&#44 NV (near Henderson&#44 NV) Time: 8:40 A.M. Near Las Vegas Nevada&#44 I was out,10/19/2011,36.0397222,-114.9811111,2011-10-11 09:00:00,2011-10-11,9,1.0,72.1,Sunny,Clear
53714,2011-10-11 15:00:00,cedar city,UT,ut,us,light,8.0,8 seconds,Bright&#44 white&#44 star-like UFO over Cedar City at 1500 on sunny day.,10/19/2011,37.6775000,-113.0611111,2011-10-11 15:00:00,2011-10-11,15,4.0,63.9,Sunny,Clear
53715,2011-10-11 19:40:00,des moines,IA,ia,us,light,90.0,90 seconds,An unexplained&#44 unidentified flying object.,12/12/2011,41.6005556,-93.6088889,2011-10-11 20:00:00,2011-10-11,20,31.0,64.6,Partly cloudy,Cloudy
53716,2011-10-11 19:42:00,new bedford,MA,ma,us,circle,1800.0,30-minutes,At least 25 orange and red fireballs fly over New Bedford&#44 MA&#44 USA,12/12/2011,41.6361111,-70.9347222,2011-10-11 20:00:00,2011-10-11,20,15.0,56.1,Clear,Clear
53717,2011-10-11 21:00:00,monroe,CT,ct,us,,300.0,5 min.,Orange Light Formation Over Monroe&#44 CT 10/11/11--Hangs in Sky then Flys Away.,10/19/2011,41.3325000,-73.2077778,2011-10-11 21:00:00,2011-10-11,21,72.0,59.5,Cloudy,Cloudy
53718,2011-10-11 21:10:00,holden beach,NC,nc,us,circle,30.0,30 seconds,6 orange balls of light over the Atlantic ocean.,10/19/2011,33.9133333,-78.3041667,2011-10-11 21:00:00,2011-10-11,21,73.0,72.5,Moderate rain at times,Rain
53719,2011-10-11 23:23:00,harrodsburg,KY,ky,us,unknown,480.0,8 min,Unknown lights.,5/29/2012,37.7622222,-84.8433333,2011-10-11 23:00:00,2011-10-11,23,81.0,57.5,Patchy rain possible,Rain
60044,2012-10-11 01:00:00,worcester,MA,ma,us,unknown,4.0,4 seconds,Big extremely bright white light hovering in sky,10/30/2012,42.2625000,-71.8027778,2012-10-11 01:00:00,2012-10-11,1,2.0,43.5,Clear,Clear
60045,2012-10-11 02:45:00,watchung (was my perspective),NJ,nj,us,sphere,3600.0,1 hour about,Orange sphere moving in unbeliveable ways&#44&#44&#44another green spehere near by with rays emerging form it.  Bizarre,10/30/2012,40.6377778,-74.4513889,2012-10-11 03:00:00,2012-10-11,3,0.0,47.1,Clear,Clear
60046,2012-10-11 04:00:00,tewksbury,MA,ma,us,light,2.0,2 seconds,Huge white streaking object moving high rate of speeds in night sky,10/30/2012,42.6105556,-71.2347222,2012-10-11 04:00:00,2012-10-11,4,2.0,44.2,Clear,Clear
,2012-10-11 04:05:00,las vegas; enroute to (15 n freeway),,nv,,disk,0.0,,UFO on 15 N freeway,10/30/2012,38.80261,-116.419389,2012-10-11 04:00:00,2012-10-11,4,6.0,48.0,Clear,Clear
,2012-10-11 07:00:00,bablyon,,ny,,disk,120.0,2 minutes,Saw a object that was very odd in the sky over the ocean off fire island inlet&#33&#33,10/30/2012,40.695655,-73.325675,2012-10-11 07:00:00,2012-10-11,7,0.0,51.1,Clear,Clear
